phecodes,task,phenotype
194.0,194.0,Cancer of other endocrine glands
195.0,195.0,"Cancer, suspected or other"
195.1,195.1,"Malignant neoplasm, other"
195.3,cancer_head_neck,"Malignant neoplasm of head, face, and neck"
195.3,195.3,"Malignant neoplasm of head, face, and neck"
196.0,196.0,Radiotherapy
197.0,197.0,Chemotherapy
198.0,198.0,Secondary malignant neoplasm
198.1,198.1,Secondary malignancy of lymph nodes
198.2,198.2,Secondary malignancy of respiratory organs
198.3,198.3,Secondary malignant neoplasm of digestive systems
198.4,198.4,Secondary malignant neoplasm of liver
198.5,198.5,Secondary malignancy of brain/spine
198.6,198.6,Secondary malignancy of bone
198.7,198.7,Secondary malignant neoplasm of skin
199.0,199.0,Neoplasm of uncertain behavior
199.4,199.4,Neurofibromatosis
200.0,200.0,Myeloproliferative disease
200.1,200.1,Polycythemia vera
201.0,201.0,Hodgkin's disease
201.0,cancer_blood,Hodgkin's disease
202.0,202.0,"Cancer of other lymphoid, histiocytic tissue"
202.2,202.2,Non-Hodgkins lymphoma
202.2,cancer_blood,Non-Hodgkins lymphoma
202.21,cancer_blood,Nodular lymphoma
202.21,202.21,Nodular lymphoma
202.22,202.22,Reticulosarcoma
202.23,202.23,Lymphosarcoma
202.24,cancer_blood,Large cell lymphoma
202.24,202.24,Large cell lymphoma
204.0,204.0,Leukemia
204.0,cancer_blood,Leukemia
204.1,204.1,Lymphoid leukemia
204.1,cancer_blood,Lymphoid leukemia
204.11,cancer_blood,"Lymphoid leukemia, acute"
204.11,204.11,"Lymphoid leukemia, acute"
204.12,cancer_blood,"Lymphoid leukemia, chronic"
204.12,204.12,"Lymphoid leukemia, chronic"
204.2,204.2,Myeloid leukemia
204.2,cancer_blood,Myeloid leukemia
204.21,cancer_blood,"Myeloid leukemia, acute"
204.21,204.21,"Myeloid leukemia, acute"
204.22,204.22,"Myeloid leukemia, chronic"
204.22,cancer_blood,"Myeloid leukemia, chronic"
204.3,204.3,Monocytic leukemia
204.3,cancer_blood,Monocytic leukemia
204.4,204.4,Multiple myeloma
204.4,cancer_blood,Multiple myeloma
208.0,208.0,Benign neoplasm of colon
209.0,209.0,Neuroendocrine tumors
210.0,210.0,"Benign neoplasm of lip, oral cavity, and pharynx"
211.0,211.0,Benign neoplasm of other parts of digestive system
212.0,212.0,Benign neoplasm of respiratory and intrathoracic organs
213.0,213.0,Benign neoplasm of bone and articular cartilage
214.0,214.0,Lipoma
214.1,214.1,Lipoma of skin and subcutaneous tissue
215.0,215.0,Other benign neoplasm of connective and other soft tissue
216.0,216.0,Benign neoplasm of skin
216.1,216.1,Screening for malignant neoplasms of the skin
217.0,217.0,Vascular hamartomas and non-neoplastic nevi
217.1,217.1,"Nevus, non-neoplastic"
218.0,218.0,Benign neoplasm of uterus
218.1,218.1,Uterine leiomyoma
218.2,218.2,Other benign neoplasm of uterus
220.0,220.0,Benign neoplasm of ovary
221.0,221.0,Benign neoplasm of other female genital organs
222.0,222.0,Benign neoplasm of male genital organs
223.0,223.0,Benign neoplasm of kidney and other urinary organs
224.0,224.0,Benign neoplasm of eye
224.1,224.1,"Benign neoplasm of eye, uveal"
225.0,225.0,Benign neoplasm of brain and other parts of nervous system
225.1,225.1,"Benign neoplasm of brain, cranial nerves, meninges"
225.2,225.2,"Benign neoplasm of spinal cord, meninges"
226.0,226.0,Benign neoplasm of thyroid glands
227.0,227.0,Benign neoplasm of other endocrine glands and related structures
227.1,227.1,Benign neoplasm of adrenal gland
227.2,bone_metabolism,Benign neoplasm of parathyroid gland
227.2,227.2,Benign neoplasm of parathyroid gland
227.3,cancer_brain,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)
227.3,227.3,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)
228.0,228.0,"Hemangioma and lymphangioma, any site"
228.1,228.1,Hemangioma of skin and subcutaneous tissue
229.0,229.0,Benign neoplasm of unspecified sites
229.1,229.1,Benign neoplasm of lymph nodes
230.0,230.0,Kaposi's sarcoma
240.0,240.0,Simple and unspecified goiter
240.0,thyroid,Simple and unspecified goiter
241.0,thyroid,Nontoxic nodular goiter
241.0,241.0,Nontoxic nodular goiter
241.1,241.1,Nontoxic uninodular goiter
241.1,thyroid,Nontoxic uninodular goiter
241.2,thyroid,Nontoxic multinodular goiter
241.2,241.2,Nontoxic multinodular goiter
242.0,242.0,Thyrotoxicosis with or without goiter
242.0,thyroid,Thyrotoxicosis with or without goiter
242.0,hyperthyroidism,Thyrotoxicosis with or without goiter
242.1,hyperthyroidism,Graves' disease
242.1,thyroid,Graves' disease
242.1,242.1,Graves' disease
242.2,242.2,Toxic multinodular goiter
242.3,242.3,Exophthalmos
242.31,242.31,Thyrotoxic exophthalmos
244.0,244.0,Hypothyroidism
244.1,244.1,Secondary hypothyroidism
244.1,thyroid,Secondary hypothyroidism
244.2,244.2,Acquired hypothyroidism
244.2,thyroid,Acquired hypothyroidism
