phecodes,task,phenotype
564.1,564.1,Irritable Bowel Syndrome
564.8,564.8,Abnormal findings on exam of gastrointestinal tract/ abdominal area
564.9,564.9,Personal history of diseases of digestive system
565.0,565.0,Anal and rectal conditions
565.1,565.1,Anal and rectal polyp
567.0,567.0,Peritonitis and retroperitoneal infections
568.0,568.0,Other disorders of peritoneum
568.1,568.1,Peritoneal adhesions (postoperative) (postinfection)
569.0,569.0,Other disorders of intestine
569.1,569.1,Toxic gastroenteritis and colitis
569.2,569.2,Gastrointestinal complications
571.0,571.0,Chronic liver disease and cirrhosis
571.5,571.5,Other chronic nonalcoholic liver disease
571.51,571.51,Cirrhosis of liver without mention of alcohol
571.6,571.6,Primary biliary cirrhosis
571.8,571.8,Liver abscess and sequelae of chronic liver disease
571.81,571.81,Portal hypertension
572.0,572.0,Ascites (non malignant)
573.0,573.0,Other disorders of liver
573.1,573.1,Chronic passive congestion of liver
573.2,573.2,Liver replaced by transplant
573.3,573.3,Hepatomegaly
573.4,573.4,Acute and subacute necrosis of liver
573.5,573.5,Jaundice (not of newborn)
573.6,573.6,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
573.7,573.7,Abnormal results of function study of liver
573.9,573.9,Abnormal serum enzyme levels
574.0,574.0,Cholelithiasis and cholecystitis
574.1,574.1,Cholelithiasis
574.11,574.11,Cholelithiasis with acute cholecystitis
574.12,574.12,Cholelithiasis with other cholecystitis
574.2,574.2,Calculus of bile duct
574.3,574.3,Cholecystitis without cholelithiasis
575.0,575.0,Other biliary tract disease
575.1,575.1,Cholangitis
575.2,575.2,Obstruction of bile duct
575.6,575.6,Cholesterolosis of gallbladder
575.7,575.7,Other disorders of gallbladder
575.8,575.8,Other disorders of biliary tract
575.9,575.9,Nonspecific abnormal findings on radiological and other examination of biliary tract
577.0,577.0,Diseases of pancreas
577.1,577.1,Acute pancreatitis
577.2,577.2,Chronic pancreatitis
577.3,577.3,Cyst and pseudocyst of pancreas
578.0,578.0,Gastrointestinal hemorrhage
578.1,578.1,Hematemesis
578.2,578.2,Blood in stool
578.8,578.8,Hemorrhage of rectum and anus
578.9,578.9,Hemorrhage of gastrointestinal tract
579.0,579.0,Other symptoms involving abdomen and pelvis
579.2,579.2,Splenomegaly
579.8,579.8,Nonspecific abnormal findings in stool contents
580.0,580.0,Nephritis; nephrosis; renal sclerosis
580.1,580.1,Glomerulonephritis
580.11,ckd,Proliferative glomerulonephritis
580.11,580.11,Proliferative glomerulonephritis
580.12,ckd,Non-proliferative glomerulonephritis
580.12,580.12,Non-proliferative glomerulonephritis
580.13,ckd,"Acute glomerulonephritis, NOS"
580.13,580.13,"Acute glomerulonephritis, NOS"
580.14,ckd,"Chronic glomerulonephritis, NOS"
580.14,580.14,"Chronic glomerulonephritis, NOS"
580.2,580.2,Nephrotic syndrome without mention of glomerulonephritis
580.2,ckd,Nephrotic syndrome without mention of glomerulonephritis
580.3,580.3,Nephritis and nephropathy without mention of glomerulonephritis
580.3,ckd,Nephritis and nephropathy without mention of glomerulonephritis
580.31,ckd,Nephritis and nephropathy in diseases classified elsewhere
580.31,580.31,Nephritis and nephropathy in diseases classified elsewhere
580.32,ckd,Nephritis and nephropathy with pathological lesion
580.32,580.32,Nephritis and nephropathy with pathological lesion
580.4,580.4,"Renal sclerosis, NOS"
585.0,585.0,Renal failure
585.1,585.1,Acute renal failure
585.1,ckd,Acute renal failure
585.2,ckd,Renal failure NOS
585.2,585.2,Renal failure NOS
585.3,585.3,Chronic renal failure [CKD]
585.3,ckd,Chronic renal failure [CKD]
585.31,ckd,Renal dialysis
585.31,585.31,Renal dialysis
585.32,585.32,End stage renal disease
585.32,ckd,End stage renal disease
585.33,585.33,"Chronic Kidney Disease, Stage III"
585.33,ckd,"Chronic Kidney Disease, Stage III"
585.34,ckd,"Chronic Kidney Disease, Stage IV"
585.34,585.34,"Chronic Kidney Disease, Stage IV"
585.4,585.4,"Chronic kidney disease, Stage I or II"
585.4,ckd,"Chronic kidney disease, Stage I or II"
586.0,586.0,Other disorders of the kidney and ureters
586.1,586.1,Anatomical abnormatilies of kidney and ureters
586.11,586.11,Small kidney
586.12,586.12,Vesicoureteral reflux
586.2,586.2,"Cyst of kidney, acquired"
586.3,586.3,Vascular disorders of kidney/hypertrophy
586.4,586.4,Stricture/obstruction of ureter
587.0,587.0,Kidney replaced by transpant
588.0,588.0,Disorders resulting from impaired renal function
588.0,ckd,Disorders resulting from impaired renal function
588.1,588.1,Renal osteodystrophy
588.2,588.2,Secondary hyperparathyroidism (of renal origin)
588.2,bone_metabolism,Secondary hyperparathyroidism (of renal origin)
589.0,589.0,Abnormal results of function study of kidney
590.0,590.0,Pyelonephritis
591.0,591.0,Urinary tract infection
592.0,592.0,Cystitis and urethritis
592.1,592.1,Cystitis
592.11,592.11,Acute cystitis
592.12,592.12,Chronic cystitis
592.13,592.13,Chronic interstitial cystitis
592.2,592.2,Urethritis and urethral syndrome
592.21,592.21,Urethral syndrome
592.3,592.3,Urethral stricture due to infecton
593.0,593.0,Hematuria
593.1,593.1,Gross hematuria
593.2,593.2,Microscopic hematuria
594.0,594.0,Urinary calculus
594.1,594.1,Calculus of kidney
594.2,594.2,Calculus of lower urinary tract
594.3,594.3,Calculus of ureter
594.8,594.8,Renal colic
595.0,595.0,Hydronephrosis
596.0,596.0,Other disorders of bladder
596.1,596.1,Bladder neck obstruction
596.5,596.5,Functional disorders of bladder
597.0,597.0,Other disorders of urethra and urinary tract
597.1,597.1,Urethral stricture (not specified as infectious)
597.2,597.2,Urinary complications NEC
597.8,597.8,Urethral hypermobility/ISD
598.0,598.0,Abnormal findings on examination of urine
598.4,598.4,Other cells and casts in urine
598.9,598.9,Other nonspecific findings on examination of urine
599.0,599.0,Other symptoms/disorders or the urinary system
599.1,599.1,Urinary obstruction
599.2,599.2,Retention of urine
599.3,599.3,Dysuria
599.4,599.4,Urinary incontinence
599.5,599.5,Frequency of urination and polyuria
599.6,599.6,Oliguria and anuria
599.7,599.7,Urethral discharge
599.8,599.8,Other symptoms involving urinary system
599.9,599.9,Other abnormality of urination
600.0,600.0,Hyperplasia of prostate
601.0,601.0,Inflammatory diseases of prostate
601.1,601.1,Prostatitis
601.11,601.11,Acute prostatitis
601.12,601.12,Chronic prostatitis
601.3,601.3,Orchitis and epididymitis
601.4,601.4,Balanoposthitis
601.8,601.8,Other inflammatory disorders of male genital organs
602.0,602.0,Other disorders of prostate
602.3,602.3,Dysplasia of prostate
603.0,603.0,Other disorders of testis
603.1,603.1,Hydrocele
603.2,603.2,Spermatocele
604.0,604.0,Disorders of penis
604.1,604.1,Redundant prepuce and phimosis/BXO
604.2,604.2,Vascular disorders of penis
604.3,604.3,Peyronie's disease
605.0,605.0,Erectile dysfunction [ED]
608.0,608.0,Other disorders of male genital organs
609.0,609.0,Male infertility and abnormal spermatozoa
609.1,609.1,"Infertility, male"
609.11,609.11,Azoospermia and oligospermia
609.2,609.2,Abnormal spermatozoa
610.0,610.0,Benign mammary dysplasias
610.1,610.1,Cystic mastopathy
610.2,610.2,Fibroadenosis of breast
610.3,610.3,Fibrosclerosis of breast
610.4,610.4,Benign neoplasm of breast
610.8,610.8,Other specified benign mammary dysplasias
611.0,611.0,Abnormal findings on mammogram or breast exam
611.1,611.1,Abnormal mammogram
611.11,611.11,Mammographic microcalcification
611.3,611.3,Lump or mass in breast
612.0,612.0,"Breast conditions, congenital or relating to hormones"
612.1,612.1,Galactorrhea
612.2,612.2,Hypertrophy of breast (Gynecomastia)
612.3,612.3,Congenital anomalies of breast
613.0,613.0,Other nonmalignant breast conditions
613.1,613.1,Inflammatory disease of breast
613.5,613.5,Mastodynia
613.7,613.7,Other signs and symptoms in breast
613.8,613.8,Other specified disorders of breast
613.9,613.9,Breast disorder NOS
614.0,614.0,Inflammatory diseases of female pelvic organs
614.1,614.1,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)"
614.3,614.3,Pelvic inflammatory disease (PID)
614.31,614.31,Acute inflammatory pelvic disease
614.32,614.32,Chronic inflammatory pelvic disease
614.33,614.33,"Pelvic inflammatory disease, NOS"
614.4,614.4,"Inflammatory diseases of uterus, except cervix"
614.5,614.5,"Inflammatory disease of cervix, vagina, and vulva"
614.51,614.51,Cervicitis and endocervicitis
614.52,614.52,Vaginitis and vulvovaginitis
614.53,614.53,Cyst or abscess of Bartholin's gland
614.54,614.54,Abscess or ulceration of vulva
615.0,615.0,Endometriosis
617.0,617.0,"Disorders secondary to childbirth, surgery, trauma"
618.0,618.0,Genital prolapse
618.1,618.1,Prolapse of vaginal walls
618.2,618.2,Uterine/Uterovaginal prolapse
618.5,618.5,Prolapse of vaginal vault after hysterectomy
618.6,618.6,"Vaginal enterocele, congenital or acquired"
619.0,619.0,Noninflammatory female genital disorders
619.1,619.1,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament"
619.2,619.2,"Disorders of uterus, NEC"
619.3,619.3,Noninflammatory disorders of cervix
619.4,619.4,Noninflammatory disorders of vagina
619.5,619.5,Noninflammatory disorders of vulva and perineum
620.0,620.0,Dysplasia of female genital organs
620.1,620.1,Dysplasia of cervix
621.0,621.0,Endometrial hyperplasia
622.0,622.0,Polyp of female genital organs
622.1,622.1,Polyp of corpus uteri
622.2,622.2,Mucous polyp of cervix
623.0,623.0,Hypertrophy of female genital organs
624.0,624.0,Symptoms involving female genital tract
624.1,624.1,Dystrophy of female genital tract
624.2,624.2,Atrophy of female genital tract
624.9,624.9,"stress incontinence, female"
625.0,625.0,Pain and other symptoms associated with female genital organs
625.1,625.1,Dyspareunia
626.0,626.0,Disorders of menstruation and other abnormal bleeding from female genital tract
626.1,626.1,Irregular menstrual cycle/bleeding
626.11,626.11,Absent or infrequent menstruation
626.12,626.12,Excessive or frequent menstruation
626.13,626.13,Irregular menstrual cycle
626.14,626.14,Irregular menstrual bleeding
626.15,626.15,"Infertility, female, associated with anovulation"
626.2,626.2,Dysmenorrhea
626.21,626.21,Mittelschmerz
626.4,626.4,Premenstrual tension syndromes
626.8,626.8,"Infertility, female"
627.0,627.0,Menopausal and postmenopausal disorders
627.1,627.1,Postmenopausal bleeding
627.2,627.2,Symptomatic menopause
627.21,627.21,Symptomatic artificial menopause
627.22,627.22,Need for Hormone replacement therapy (postmenopausal)
627.3,627.3,Postmenopausal atrophic vaginitis
627.4,627.4,Premenopausal menorrhagia
627.5,627.5,Premature menopause and other ovarian failure
628.0,628.0,Ovarian cyst
634.0,634.0,Miscarriage; stillbirth
634.1,634.1,Missed abortion/Hydatidiform mole
634.3,634.3,Ectopic pregnancy
635.0,635.0,Hemorrhage during pregnancy; childbirth and postpartum
635.2,635.2,"Antepartum hemorrhage, abruptio placentae, and placenta previa"
635.3,635.3,Placenta previa and abruptio placenta
636.0,636.0,Early or threatened labor; hemorrhage in early pregnancy
636.1,636.1,Threatened premature labor
636.2,636.2,Early onset of delivery
636.3,636.3,Hemorrhage in early pregnancy
636.8,636.8,Cervical incompetence
637.0,637.0,Short gestation; low birth weight; and fetal growth retardation
638.0,638.0,Other high-risk pregnancy
639.0,639.0,Complications following abortion or ectopic and molar pregnancies
642.0,642.0,"Hypertension complicating pregnancy, childbirth, and the puerperium"
642.1,642.1,Preeclampsia and eclampsia
643.0,643.0,Excessive vomiting in pregnancy
643.1,643.1,Hyperemesis gravidarum
644.0,644.0,Anemia during pregnancy
645.0,645.0,Late pregnancy and failed induction
646.0,646.0,Other complications of pregnancy NEC
647.0,647.0,Infectious and parasitic complications affecting pregnancy
647.1,647.1,Infections of genitourinary tract during pregnancy
647.3,647.3,Major puerperal infection
649.0,649.0,"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
649.1,649.1,Diabetes or abnormal glucose tolerance complicating pregnancy
650.0,650.0,Normal delivery
651.0,651.0,Multiple gestation
652.0,652.0,Malposition and malpresentation of fetus or obstruction
653.0,653.0,Problems associated with amniotic cavity and membranes
654.0,654.0,Other and unspecified complications of birth; puerperium affecting management of mother
654.1,654.1,"Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium"
654.2,654.2,Rhesus isoimmunization in pregnancy
655.0,655.0,Known or suspected fetal abnormality affecting management of mother
655.1,655.1,Abnormality in fetal heart rate or rhythm
656.0,656.0,Other perinatal conditions of fetus or newborn
656.1,656.1,Isoimmunization of fetus or newborn
656.2,656.2,Respiratory conditions of fetus and newborn
656.22,656.22,Interstitial emphysema and related conditions of newborn
656.26,656.26,Transitory tachypnea or apnea of newborn
656.3,656.3,Endocrine and metabolic disturbances of fetus and newborn
656.4,656.4,Hemorrhage of fetus or newborn
656.5,656.5,Hematological disorders of newborn
656.6,656.6,Perinatal disorders of digestive system
656.7,656.7,Conditions involving the integument and temperature regulation of fetus and newborn
656.8,656.8,Perinatal jaundice
656.9,656.9,Neonatal bradycardia or tachycardia
657.0,657.0,Infections specific to the perinatal period
658.0,658.0,Maternal complication of pregnancy affecting fetus or newborn
661.0,661.0,Fetal distress and abnormal forces of labor
663.0,663.0,Umbilical cord complications during labor and delivery
665.0,665.0,Obstetrical/birth trauma
668.0,668.0,Complications of the administration of anesthetic or other sedation in labor and delivery
669.0,669.0,Complications of labor and delivery NEC
671.0,671.0,Venous/cerebrovascular complications embolism in pregnancy and the puerperium
674.0,674.0,Other complications of the puerperium NEC
676.0,676.0,Other disorders of the breast associated with childbirth and disorders of lactation
679.0,679.0,Complications of in utero procedures
681.0,681.0,Superficial cellulitis and abscess
681.1,681.1,Cellulitis and abscess of fingers/toes
681.2,681.2,Cellulitis and abscess of face/neck
681.3,681.3,Cellulitis and abscess of arm/hand
681.5,681.5,"Cellulitis and abscess of leg, except foot"
681.6,681.6,"Cellulitis and abscess of foot, toe"
681.7,681.7,Cellulitis and abscess of trunk
686.0,686.0,Other local infections of skin and subcutaneous tissue
686.1,686.1,Carbuncle and furuncle
686.2,686.2,Impetigo
686.3,686.3,Pilonidal cyst
686.4,686.4,Pyogenic granuloma
686.5,686.5,Pyoderma
687.0,687.0,Symptoms affecting skin
687.1,687.1,Rash and other nonspecific skin eruption
687.2,687.2,"Localized superficial swelling, mass, or lump"
687.3,687.3,Changes in skin texture
687.4,687.4,Disturbance of skin sensation
689.0,689.0,Disorder of skin and subcutaneous tissue NOS
690.0,690.0,Erythematosquamous dermatosis
690.1,690.1,Seborrheic dermatitis
691.0,691.0,Congenital anomalies of skin
691.1,691.1,Ichthyosis congenita
691.3,691.3,Congenital pigmentary anomalies of skin
694.0,694.0,Dyschromia and Vitiligo
694.1,694.1,Vitiligo
694.2,694.2,Other dyschromia
694.3,694.3,Vascular disorders of skin
695.0,695.0,Erythematous conditions
695.1,695.1,Toxic erythema
695.2,695.2,Bullous dermatoses
695.21,695.21,Dermatitis herpetiformis
695.22,695.22,Pemphigus and pemphigoid
695.3,695.3,Rosacea
695.4,695.4,Lupus (localized and systemic)
695.41,695.41,Cutaneous lupus erythematosus
695.42,695.42,Systemic lupus erythematosus
695.7,695.7,Prurigo and Lichen
695.8,695.8,Other specified erythematous conditions
695.81,695.81,Erythema nodosum
695.9,695.9,Unspecified erythematous condition
696.0,696.0,Psoriasis and related disorders
696.2,696.2,Parapsoriasis
696.3,696.3,Pityriasis
696.4,696.4,Psoriasis
696.41,696.41,Psoriasis vulgaris
696.42,696.42,Psoriatic arthropathy
697.0,697.0,Sarcoidosis
698.0,698.0,Pruritus and related conditions
700.0,700.0,Corns and callosities
701.0,701.0,Other hypertrophic and atrophic conditions of skin
701.1,701.1,"Keratoderma, acquired"
701.2,701.2,Scar conditions and fibrosis of skin
701.3,701.3,Circumscribed scleroderma
701.4,701.4,Keloid scar
701.5,701.5,Abnormal granulation tissue
701.6,701.6,Acquired acanthosis nigricans
702.0,702.0,Degenerative skin conditions and other dermatoses
702.1,702.1,Actinic keratosis
702.2,702.2,Seborrheic keratosis
702.4,702.4,Degenerative skin disorders
703.0,703.0,"Diseases of nail, NOS"
703.1,703.1,Ingrowing nail
704.0,704.0,Diseases of hair and hair follicles
704.1,704.1,Alopecia
704.11,704.11,Alopecia Areata
704.12,704.12,Telogen effluvium
704.2,704.2,Hirsutism
704.8,704.8,Other specified diseases of hair and hair follicles
705.0,705.0,Disorders of sweat glands
705.1,705.1,Dyshidrosis
705.3,705.3,Hidradenitis
705.8,705.8,Hyperhidrosis
706.0,706.0,Diseases of sebaceous glands
706.1,706.1,Acne
706.2,706.2,Sebaceous cyst
706.3,706.3,Seborrhea
706.8,706.8,Other specified diseases of sebaceous glands
707.0,707.0,Chronic ulcer of skin
707.1,707.1,Decubitus ulcer
707.2,707.2,Chronic ulcer of leg or foot
707.3,707.3,Chronic ulcer of unspecified site
709.0,709.0,Diffuse diseases of connective tissue
709.2,709.2,Sicca syndrome
709.3,709.3,Systemic sclerosis
709.4,709.4,Polymyositis
709.5,709.5,Dermatomyositis
709.6,709.6,Other specified diffuse diseases of connective tissue
709.7,709.7,Unspecified diffuse connective tissue disease
710.0,710.0,"Osteomyelitis, periostitis, and other infections involving bone"
710.1,710.1,Osteomyelitis
710.11,710.11,Acute osteomyelitis
710.12,710.12,Chronic osteomyelitis
710.19,710.19,Unspecified osteomyelitis
710.2,710.2,Periostitis
710.3,710.3,Osteopathy resulting from poliomyelitis
711.0,711.0,Arthropathy associated with infections
711.1,711.1,Pyogenic arthritis
711.2,711.2,Reiter's disease
711.3,711.3,Behcet's syndrome
712.0,712.0,Infective connective tissue disorders
713.0,713.0,Arthropathy associated with other disorders classified elsewhere
713.5,713.5,Arthropathy associated with neurological disorders
714.0,714.0,Rheumatoid arthritis and other inflammatory polyarthropathies
714.1,714.1,Rheumatoid arthritis
714.2,714.2,Juvenile rheumatoid arthritis
715.0,715.0,Other inflammatory spondylopathies
715.1,715.1,Sacroiliitis NEC
715.2,715.2,Ankylosing spondylitis
715.3,715.3,Spinal enthesopathy
716.0,716.0,Other arthropathies
716.1,716.1,Unspecified polyarthropathy or polyarthritis
716.2,716.2,Unspecified monoarthritis
716.3,716.3,Kaschin-Beck disease
716.8,716.8,Palindromic rheumatism
716.9,716.9,Arthropathy NOS
717.0,717.0,Polymyalgia Rheumatica
720.0,720.0,Spinal stenosis
720.1,720.1,Spinal stenosis of lumbar region
721.0,721.0,Spondylosis and allied disorders
721.1,721.1,Spondylosis without myelopathy
721.2,721.2,Spondylosis with myelopathy
721.8,721.8,Other allied disorders of spine
722.0,722.0,Intervertebral disc disorders
722.1,722.1,Displacement of intervertebral disc
722.3,722.3,Schmorl's nodes
722.6,722.6,Degeneration of intervertebral disc
722.7,722.7,Intervertebral disc disorder with myelopathy
722.8,722.8,Postlaminectomy syndrome
722.9,722.9,Other and unspecified disc disorder
723.0,723.0,Other disorders of cervical region
723.1,723.1,Torticollis
724.0,724.0,Other and unspecified disorders of back
724.1,724.1,Disorders of sacrum
724.2,724.2,Disorders of coccyx
724.8,724.8,Other symptoms referable to back
724.9,724.9,Other unspecified back disorders
726.0,726.0,Peripheral enthesopathies and allied syndromes
726.1,726.1,Enthesopathy
726.2,726.2,Synoviopathy
726.3,726.3,Bursitis
726.4,726.4,Calcaneal spur; Exostosis NOS
727.0,727.0,"Other disorders of synovium, tendon, and bursa"
727.1,727.1,Synovitis and tenosynovitis
727.2,727.2,Bursitis disorders
727.4,727.4,"Ganglion and cyst of synovium, tendon, and bursa"
727.5,727.5,Rupture of synovium
727.6,727.6,"Rupture of tendon, nontraumatic"
727.7,727.7,Contracture of tendon (sheath)
727.8,727.8,Plica syndrome
728.0,728.0,"Disorders of muscle, ligament, and fascia"
728.1,728.1,Muscular calcification and ossification
728.2,728.2,Laxity of ligament or hypermobility syndrome
728.7,728.7,Fasciitis
728.71,728.71,Contracture of palmar fascia [Dupuytren's disease]
729.0,729.0,Other disorders of soft tissues
729.1,729.1,"Rheumatism, unspecified and fibrositis"
729.3,729.3,Panniculitis
729.7,729.7,Nontraumatic compartment syndrome
731.0,731.0,Osteitis deformans and osteopathies associated with other disorders classified elsewhere
731.1,731.1,Osteitis deformans [Paget's disease of bone]
732.0,732.0,Osteochondropathies
732.1,732.1,Juvenile osteochondrosis
732.7,732.7,Osteochondritis dissecans
733.0,733.0,Other disorders of bone and cartilage
733.2,733.2,Cyst of bone
733.4,733.4,Aseptic necrosis of bone
733.6,733.6,Costochondritis
733.8,733.8,Malunion and nonunion of fracture
733.9,733.9,Chondromalacia
735.0,735.0,Acquired foot deformities
735.1,735.1,Flat foot
735.2,735.2,Acquired toe deformities
735.21,735.21,Hammer toe (acquired)
735.22,735.22,Claw toe (acquired)
735.23,735.23,Hallux rigidus
735.3,735.3,Hallux valgus (Bunion)
736.0,736.0,Other acquired deformities of limbs
736.1,736.1,Acquired deformities of forearm
736.2,736.2,Acquired deformities of finger
736.3,736.3,Acquired deformities of hip
736.4,736.4,Genu valgum or varum (acquired)
736.5,736.5,Acquired deformities of knee
736.6,736.6,Unequal leg length (acquired)
737.0,737.0,Curvature of spine
737.1,737.1,Kyphosis (acquired)
737.2,737.2,Lordosis (acquired)
737.3,737.3,Kyphoscoliosis and scoliosis
738.0,738.0,Other acquired musculoskeletal deformity
738.4,738.4,Acquired spondylolisthesis
739.0,739.0,Contracture of joint
740.0,740.0,Osteoarthrosis
740.1,740.1,Osteoarthritis; localized
740.11,740.11,"Osteoarthrosis, localized, primary"
740.12,740.12,"Osteoarthrosis, localized, secondary"
740.2,740.2,"Osteoarthrosis, generalized"
740.3,740.3,"Osteoarthrosis involving more than one site, but not specified as generalized"
740.9,740.9,Osteoarthrosis NOS
741.0,741.0,Symptoms and disorders of the joints
741.1,741.1,Ankylosis of joint
741.2,741.2,Stiffness of joint
741.3,741.3,Difficulty in walking
741.4,741.4,Joint effusions
741.5,741.5,Hemarthrosis
741.6,741.6,Villonodular synovitis
742.0,742.0,"Derangement of joint, non-traumatic"
742.1,742.1,Loose body in joint
742.2,742.2,"Pathological, developmental or recurrent dislocation"
742.8,742.8,Articular cartilage disorder
742.9,742.9,Other derangement of joint
743.0,743.0,"Osteoporosis, osteopenia and pathological fracture"
743.1,743.1,Osteoporosis
743.11,osteoporosis,Osteoporosis NOS
743.11,bone_metabolism,Osteoporosis NOS
743.11,743.11,Osteoporosis NOS
743.12,743.12,Senile osteoporosis
743.13,743.13,Other specified osteoporosis
743.2,743.2,Pathologic fracture
743.21,743.21,Pathologic fracture of vertebrae
743.22,743.22,Pathologic fracture of femur
743.4,743.4,Stress fracture
743.9,743.9,Osteopenia or other disorder of bone and cartilage
743.9,osteoporosis,Osteopenia or other disorder of bone and cartilage
745.0,745.0,Pain in joint
747.0,747.0,Cardiac and circulatory congenital anomalies
747.1,747.1,Cardiac congenital anomalies
747.11,747.11,Cardiac shunt/ heart septal defect
747.12,747.12,Valvular heart disease/ heart chambers
747.13,747.13,Congenital anomalies of great vessels
747.2,747.2,Congenital anomalies of peripheral vascular system
748.0,748.0,"Anomalies of respiratory system, congenital"
749.0,749.0,Congenital anomalies of face and neck
749.1,749.1,Cleft palate
749.2,749.2,Congenital anomalies of skull and face bones
750.0,750.0,Digestive congenital anomalies
750.1,750.1,Upper gastrointestinal congenital anomalies
750.11,750.11,Esophageal atresia/tracheoesophageal fistula
750.13,750.13,Congenital anomalies of mouth/tongue
750.14,750.14,Congenital anomalies of esophagus
750.15,750.15,Congenital anomalies of stomach
750.2,750.2,Lower gastrointestinal congenital anomalies
750.21,750.21,Congenital anomalies of intestine
750.22,750.22,"Congenital anomaly of gallbladder, bile ducts, liver, pancreas"
750.5,750.5,Congenital hypertrophic pyloric stenosis
751.0,751.0,Genitourinary congenital anomalies
751.1,751.1,Congenital anomalies of genital organs
751.11,751.11,Congenital anomalies of female genital organs
751.12,751.12,Congenital anomalies of male genital organs
751.2,751.2,Congenital anomalies of urinary system
751.21,751.21,Cystic kidney disease
751.21,ckd,Cystic kidney disease
751.22,751.22,Other specified congenital anomalies of kidney
751.3,751.3,Obstructive genitourinary defect
752.0,752.0,Nervous system congenital anomalies
752.1,752.1,Neural tube defects
752.11,752.11,Spina bifida
752.2,752.2,Other specified congenital anomalies of nervous system
753.0,753.0,Congenital anomalies of the eye
753.1,753.1,Congenital cataract and lens anomalies
753.2,753.2,Congenital anomalies of posterior segment of eye
754.0,754.0,Congenital musculoskeletal deformities of spine
754.1,754.1,"Lumbosacral spondylolysis, congenital"
754.2,754.2,"Spondylolisthesis, congenital"
755.0,755.0,Congenital anomalies of limbs
755.1,755.1,Congenital deformities of feet
755.3,755.3,Congenital anomaly of fingers/toes
755.4,755.4,"Congenital anomalies of upper limb, including shoulder girdle"
755.6,755.6,"Other congenital anomalies of lower limb, including pelvic girdle"
755.61,755.61,Congenital hip dysplasia and deformity
756.0,756.0,Other congenital musculoskeletal anomalies
756.1,756.1,Congenital anomalies of abdominal wall; diaphram
756.2,756.2,Pectus and other congenital anomalies of ribs/sternum
756.21,756.21,Pectus excavatum
756.22,756.22,Pectus carinatum
756.3,756.3,"Congenital anomalies of muscle, tendon, fascia, and connective tissue"
756.5,756.5,Congenital osteodystrophies
757.0,757.0,Congenital anomalies of the integument
758.0,758.0,Chromosomal anomalies and genetic disorders
758.1,758.1,Chromosomal anomalies
759.0,759.0,Other and unspecified congenital anomalies
759.1,759.1,"Anomalies of endocrine glands, congenital"
760.0,760.0,Back pain
761.0,761.0,Cervicalgia
763.0,763.0,"Thoracic or lumbosacral neuritis or radiculitis, unspecified"
764.0,764.0,Sciatica
765.0,765.0,Cervical radiculitis
766.0,766.0,"Neuralgia, neuritis, and radiculitis NOS"
767.0,767.0,Cervicocranial/Cervicobrachial syndrome
769.0,769.0,Nonallopathic lesions NEC
770.0,770.0,Myalgia and myositis unspecified
771.0,771.0,Musculoskeletal symptoms referable to limbs
771.1,771.1,Swelling of limb
771.2,771.2,Cramp of limb
772.0,772.0,Symptoms of the muscles
772.1,772.1,Muscular wasting and disuse atrophy
772.2,772.2,Spasm of muscle
772.3,772.3,Muscle weakness
772.4,772.4,Rhabdomyolysis
772.6,772.6,Facial weakness
773.0,773.0,Pain in limb
780.0,780.0,Hypothermia/Chills
781.0,781.0,Symptoms involving nervous and musculoskeletal systems
781.1,781.1,Loss of height
781.2,781.2,Abnormal posture
782.0,782.0,Symptoms involving skin and other integumentary tissue
782.3,782.3,Edema
782.6,782.6,Pallor and flushing
783.0,783.0,Fever of unknown origin
783.1,783.1,Postprocedural fever
785.0,785.0,Abdominal pain
788.0,788.0,Syncope and collapse
789.0,789.0,Nausea and vomiting
789.1,789.1,Persistent vomiting
790.0,790.0,Nonspecific findings on examination of blood
790.1,790.1,Elevated sedimentation rate
790.6,790.6,Other abnormal blood chemistry
790.8,790.8,Elevated C-reactive protein (CRP)
790.9,790.9,Abnormal arterial blood gases
791.0,791.0,Gangrene
792.0,792.0,Abnormal Papanicolaou smear of cervix and cervical HPV
792.1,792.1,Papanicolaou smear of cervix or vagina with atypical squamous cells
793.0,793.0,Nonspecific abnormal findings on radiological and other examination of musculoskeletal system
793.2,793.2,"Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)"
794.0,794.0,"Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)"
795.0,795.0,"Other and nonspecific abnormal cytological, histological and immunological findings"
795.8,795.8,Abnormal tumor markers
795.81,795.81,Elevated carcinoembryonic antigen [CEA]
795.82,795.82,Elevated cancer antigen 125 [CA 125]
796.0,796.0,Elevated prostate specific antigen [PSA]
797.0,797.0,Shock
797.1,797.1,Cardiogenic shock
798.0,798.0,Malaise and fatigue
798.1,798.1,Chronic fatigue syndrome
799.0,799.0,Debility unspecified
800.0,800.0,Fracture of lower limb
800.1,800.1,Fracture of neck of femur
800.2,800.2,Fracture of unspecified part of femur
800.3,800.3,Fracture of tibia and fibula
800.4,800.4,Fracture of patella
